,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
85,STT,State Street Corporation,21.89B,-0.69%,312250,11.95B
86,KB,KB Financial Group Inc.,21.81B,-2.04%,118827,3.19B
87,ERIE,Erie Indemnity Company,21.79B,-0.15%,6717,3.27B
88,LPLA,LPL Financial Holdings Inc.,19.99B,-0.06%,23261,10.05B
89,MKL,Markel Corporation,19.97B,-0.10%,4805,15.80B
90,PFG,"Principal Financial Group, Inc.",19.47B,0.39%,160590,13.67B
91,CBOE,"Cboe Global Markets, Inc.",19.38B,0.45%,44395,3.77B
92,SHG,"Shinhan Financial Group Co., Ltd.",19.22B,-0.54%,17348,7.06B
93,HBAN,Huntington Bancshares Incorporated,19.00B,-0.77%,1799136,6.96B
94,CINF,Cincinnati Financial Corporation,18.78B,-1.04%,102206,10.01B
95,NMR,"Nomura Holdings, Inc.",18.42B,2.85%,463190,10.09B
96,FDS,FactSet Research Systems Inc.,18.13B,0.80%,28418,2.12B
97,RF,Regions Financial Corporation,17.51B,0.29%,953519,7.02B
98,L,Loews Corporation,17.10B,0.22%,94197,15.90B
99,EG,"Everest Group, Ltd.",17.04B,-0.27%,34733,14.59B
100,SYF,Synchrony Financial,17.00B,-0.69%,380948,7.66B
101,NTRS,Northern Trust Corporation,16.62B,-0.01%,106583,6.75B
102,TPG,TPG Inc.,16.09B,-0.82%,27092,2.39B
103,CG,The Carlyle Group Inc.,16.09B,0.31%,149679,2.96B
104,BAM,Brookfield Asset Management Inc.,15.99B,-0.39%,91729,4.01B
105,CRBG,"Corebridge Financial, Inc.",15.82B,0.96%,507647,18.88B
106,CFG,"Citizens Financial Group, Inc.",15.35B,-0.19%,509640,7.54B
107,RYAN,"Ryan Specialty Holdings, Inc.",14.44B,-0.16%,46649,2.08B
108,BEN,"Franklin Resources, Inc.",14.16B,-0.74%,308565,7.87B
109,XP,XP Inc.,13.91B,0.34%,321428,3.05B
110,BAP,Credicorp Ltd.,13.73B,-0.27%,15697,3.90B
111,KEY,KeyCorp,13.52B,-0.79%,869695,5.89B
112,FNF,"Fidelity National Financial, Inc.",13.46B,-0.16%,82883,11.75B
113,MORN,"Morningstar, Inc.",13.00B,0.37%,4401,2.04B
114,RNR,RenaissanceRe Holdings Ltd.,12.51B,-0.19%,21678,9.13B
115,ARCC,Ares Capital Corporation,12.25B,-0.15%,661408,2.61B
116,RGA,"Reinsurance Group of America, Incorporated",12.18B,-0.03%,25431,18.57B
117,CNA,CNA Financial Corporation,12.00B,-0.14%,17484,13.30B
118,KNSL,"Kinsale Capital Group, Inc.",11.97B,-0.10%,18095,1.22B
119,BCH,Banco de Chile,11.81B,0.56%,20209,3.21B
120,EQH,"Equitable Holdings, Inc.",11.61B,0.27%,146462,10.53B
121,ALLY,Ally Financial Inc.,11.43B,0.08%,257188,8.21B
122,AFG,"American Financial Group, Inc.",11.08B,-0.24%,12815,7.83B
123,GL,Globe Life Inc.,10.87B,0.82%,80128,5.45B
124,UWMC,UWM Holdings Corporation,10.76B,1.48%,136325,1.31B
125,EWBC,"East West Bancorp, Inc.",10.53B,0.09%,57746,2.48B
126,AEG,Aegon N.V.,10.41B,-0.26%,444282,-11.08B
127,UNM,Unum Group,9.98B,0.02%,121657,12.39B
128,BSAC,Banco Santander-Chile,9.63B,-,23389,2.19B
129,AIZ,"Assurant, Inc.",9.42B,-0.55%,21663,11.13B
130,JEF,Jefferies Financial Group Inc.,9.21B,0.58%,105043,4.70B
131,SEIC,SEI Investments Company,9.01B,0.51%,20355,1.92B
132,WF,Woori Financial Group Inc.,8.96B,-2.06%,1331,8.25B
133,PRI,"Primerica, Inc.",8.60B,0.37%,5302,2.82B
134,HLI,"Houlihan Lokey, Inc.",8.59B,-0.21%,28643,1.84B
135,MKTX,MarketAxess Holdings Inc.,8.27B,0.05%,60337,752.55M
136,WBS,Webster Financial Corporation,8.25B,-0.26%,62121,2.50B
137,FHN,First Horizon Corporation,8.15B,-0.65%,320040,3.21B
138,ORI,Old Republic International Corporation,8.15B,-0.17%,120796,7.26B
139,CIB,Bancolombia S.A.,7.77B,0.84%,27906,4.25B
140,SF,Stifel Financial Corp.,7.61B,0.04%,23798,4.35B
141,FUTU,Futu Holdings Limited,7.57B,5.05%,675653,1.28B
142,EVR,Evercore Inc.,7.32B,0.06%,14639,2.43B
143,VOYA,"Voya Financial, Inc.",7.13B,0.76%,44784,7.35B
144,IVZ,Invesco Ltd.,6.93B,-0.78%,303815,5.72B
145,SOFI,"SoFi Technologies, Inc.",6.87B,-1.35%,12707961,2.12B
146,CFR,Cullen Frost Bankers Inc.,6.81B,-0.12%,18526,1.94B
147,CACC,Credit Acceptance Corporation,6.75B,0.19%,7729,1.90B
148,RLI,RLI Corp.,6.71B,0.08%,9237,1.51B
149,CBSH,"Commerce Bancshares, Inc.",6.61B,0.02%,26815,1.54B
150,CMA,Comerica Incorporated,6.56B,-0.55%,281314,3.50B
151,WAL,Western Alliance Bancorporation,6.39B,-1.10%,59545,2.56B
152,SIGI,"Selective Insurance Group, Inc.",6.24B,-0.43%,20184,4.23B
153,PNFP,"Pinnacle Financial Partners, Inc.",6.12B,0.40%,23430,1.60B
154,SSB,SouthState Corporation,6.10B,-0.01%,22983,1.63B
155,WTFC,Wintrust Financial Corporation,5.97B,-0.15%,22652,2.16B
156,BPOP,"Popular, Inc.",5.94B,-0.39%,39087,2.57B
157,HLNE,Hamilton Lane Incorporated,5.93B,0.23%,4910,489.97M
158,ESNT,Essent Group Ltd.,5.91B,0.07%,31249,1.11B
159,OBDC,Blue Owl Capital Corporation,5.88B,-,579617,1.58B
160,ZION,"Zions Bancorporation,NA",5.87B,-1.06%,480869,2.98B
161,OMF,"OneMain Holdings, Inc.",5.78B,-0.62%,64772,2.56B
162,FAF,First American Financial Corporation,5.70B,-0.29%,30307,6.00B
