,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
366,OBK,"Origin Bancorp, Inc.",898.63M,-0.19%,8287,341.14M
367,PRAA,"PRA Group, Inc.",896.41M,-1.64%,26827,802.55M
368,OCFC,OceanFirst Financial Corp.,884.89M,-0.07%,28757,385.68M
369,GHLD,Guild Holdings Company,873.80M,3.50%,4903,655.19M
370,BSIG,BrightSphere Investment Group Inc.,863.11M,-0.31%,19408,426.60M
371,LC,LendingClub Corporation,856.79M,-0.64%,66567,864.62M
372,HG,"Hamilton Insurance Group, Ltd.",839.98M,1.45%,52608,1.57B
373,SBSI,"Southside Bancshares, Inc.",835.36M,-0.51%,12910,241.71M
374,BFC,Bank First Corporation,832.35M,-0.35%,2659,186.91M
375,BRKL,"Brookline Bancorp, Inc.",829.39M,-0.11%,41831,333.44M
376,SLRC,SLR Investment Corp.,825.41M,-0.07%,30348,229.31M
377,AMTB,Amerant Bancorp Inc.,821.14M,-0.14%,9111,352.68M
378,GRNT,"Granite Ridge Resources, Inc",815.31M,-0.88%,43676,394.07M
379,CGBD,"Carlyle Secured Lending, Inc.",814.75M,0.06%,28710,241.63M
380,LPRO,Open Lending Corporation,792.91M,-0.30%,26626,117.46M
381,ABL,"Abacus Life, Inc.",784.27M,-0.82%,2297,66.37M
382,CFFN,"Capitol Federal Financial, Inc.",779.66M,-1.37%,52372,-41.97M
383,WRLD,World Acceptance Corporation,774.99M,-0.06%,3162,575.18M
384,ROOT,"Root, Inc.",772.19M,4.31%,233577,455.00M
385,LBAI,"Lakeland Bancorp, Inc.",770.67M,-,15618,293.77M
386,BRDG,Bridge Investment Group Holdings Inc.,768.78M,-1.57%,23447,259.81M
387,FBMS,"The First Bancshares, Inc.",765.08M,-0.53%,14377,281.53M
388,ALTI,"AlTi Global, Inc.",757.16M,-0.16%,16157,183.89M
389,BITF,Bitfarms Ltd.,755.19M,-,2829966,146.37M
390,AC,"Associated Capital Group, Inc.",731.85M,-0.97%,441,14.59M
391,CNOB,"ConnectOne Bancorp, Inc.",725.84M,0.11%,31325,260.91M
392,FMBH,"First Mid Bancshares, Inc.",717.64M,-0.20%,8877,274.15M
393,AMAL,Amalgamated Financial Corp.,708.43M,-1.03%,12171,275.98M
394,CTBI,"Community Trust Bancorp, Inc.",705.69M,-0.77%,4999,223.96M
395,DCOM,"Dime Community Bancshares, Inc.",703.93M,-0.77%,9864,350.01M
396,TMP,Tompkins Financial Corporation,697.54M,-0.81%,5981,215.42M
397,GHIX,"Gores Holdings IX, Inc.",695.63M,-,200,-
398,LDI,"loanDepot, Inc.",690.50M,-,23474,974.02M
399,TRIN,Trinity Capital Inc.,687.27M,0.10%,246409,181.86M
400,PFLT,PennantPark Floating Rate Capital Ltd.,683.45M,-,100045,145.97M
401,PFC,Premier Financial Corp.,681.37M,0.08%,10671,302.71M
402,AMBC,"Ambac Financial Group, Inc.",679.74M,-1.96%,45678,269.00M
403,TIGR,UP Fintech Holding Limited,674.40M,3.94%,400554,228.23M
404,HUT,Hut 8 Mining Corp.,670.78M,1.86%,1054208,116.50M
405,EGBN,"Eagle Bancorp, Inc.",662.33M,-0.20%,30129,280.81M
406,NOAH,Noah Holdings Limited,652.08M,0.59%,30038,464.55M
407,CFB,"CrossFirst Bankshares, Inc.",642.97M,-0.58%,11035,231.02M
408,HFWA,Heritage Financial Corporation,641.58M,-0.98%,8238,239.54M
409,AACT,Ares Acquisition Corporation II,639.44M,-,99511,-
410,CCAP,"Crescent Capital BDC, Inc.",637.46M,0.13%,12699,184.13M
411,AMRK,"A-Mark Precious Metals, Inc.",634.67M,-0.47%,18414,10.00B
412,TIPT,Tiptree Inc.,632.29M,-0.35%,5005,1.65B
413,SUPV,Grupo Supervielle S.A.,616.62M,-2.46%,280841,626.77M
414,VINP,Vinci Partners Investments Ltd.,615.23M,-0.31%,2808,93.31M
415,IGIC,International General Insurance Holdings Ltd.,615.09M,-1.95%,16582,472.00M
416,PRA,ProAssurance Corporation,610.63M,-0.46%,12004,1.14B
417,GSBC,"Great Southern Bancorp, Inc.",605.27M,-1.18%,2260,226.37M
418,MCBS,"MetroCity Bankshares, Inc.",603.92M,-2.11%,1352,119.70M
419,HBT,"HBT Financial, Inc.",601.22M,-0.76%,760,219.55M
420,FCBC,"First Community Bankshares, Inc.",599.56M,-0.28%,1447,157.15M
421,FDUS,Fidus Investment Corporation,595.46M,0.82%,132900,130.11M
422,NBBK,"NB Bancorp, Inc.",591.47M,-1.00%,25579,-
423,OSBC,"Old Second Bancorp, Inc.",590.93M,0.27%,21446,269.61M
424,CION,CION Investment Corporation,587.98M,-0.55%,59152,251.01M
425,SAGA,Sagaliam Acquisition Corp.,586.89M,-0.09%,7,-
426,TCPC,BlackRock TCP Capital Corp.,586.34M,-0.30%,87093,209.33M
427,UVSP,Univest Financial Corporation,577.58M,-1.05%,11143,286.05M
428,EZPW,"EZCORP, Inc.",576.36M,-0.67%,34803,1.08B
429,MBWM,Mercantile Bank Corporation,575.68M,-0.83%,8285,217.99M
430,UVE,"Universal Insurance Holdings, Inc.",575.26M,-0.38%,9185,1.39B
431,VEL,"Velocity Financial, Inc.",568.58M,-0.26%,1038,171.75M
432,UFCS,"United Fire Group, Inc.",558.38M,-0.14%,5868,1.10B
433,QD,Qudian Inc.,557.75M,1.21%,680034,30.62M
434,APLD,Applied Digital Corporation,549.20M,-2.67%,659816,114.65M
435,BFST,"Business First Bancshares, Inc.",538.57M,1.20%,4003,247.29M
436,PSBD,Palmer Square Capital BDC Inc.,538.10M,0.61%,253,112.22M
437,RILY,"B. Riley Financial, Inc.",537.65M,-10.32%,1060629,1.79B
438,WULF,TeraWulf Inc.,531.49M,-1.40%,2246850,55.51M
439,HBNC,"Horizon Bancorp, Inc.",522.66M,-1.18%,15607,185.28M
440,TRST,TrustCo Bank Corp NY,513.28M,-0.63%,5145,188.91M
441,CATC,Cambridge Bancorp,505.71M,-0.16%,2318,161.63M
442,CPF,Central Pacific Financial Corp.,505.22M,-0.37%,14078,240.97M
443,MSBI,"Midland States Bancorp, Inc.",504.05M,0.62%,20963,281.48M
444,IBCP,Independent Bank Corporation,500.90M,-0.71%,5088,200.80M
445,GAIN,Gladstone Investment Corporation,499.59M,-,23171,83.52M
446,HTBK,Heritage Commerce Corp,497.31M,-0.86%,55603,191.47M
447,TREE,"LendingTree, Inc.",494.71M,-4.15%,42789,672.50M
448,SMBC,"Southern Missouri Bancorp, Inc.",487.79M,-0.09%,3592,153.93M
449,EQBK,"Equity Bancshares, Inc.",487.22M,0.08%,2594,138.02M
450,GDOT,Green Dot Corporation,483.92M,-2.24%,74267,1.50B
451,AMNB,American National Bankshares Inc.,483.71M,-0.45%,1495,102.42M
452,CCB,Coastal Financial Corporation,481.62M,-0.28%,5841,261.91M
453,RWAY,Runway Growth Finance Corp.,478.82M,0.25%,67307,164.21M
454,IREN,Iris Energy Limited,478.55M,-0.54%,1976801,85.48M
455,FMNB,Farmers National Banc Corp.,471.58M,-0.64%,6355,170.49M
456,YRD,Yiren Digital Ltd.,471.42M,-1.50%,39439,647.79M
457,DGICA,Donegal Group Inc.,468.09M,-2.64%,11163,927.34M
458,ACIC,American Coastal Insurance Corporation,467.49M,-0.19%,19740,286.54M
459,DGICB,Donegal Group Inc.,466.44M,-,15,927.34M
460,ALCC,AltC Acquisition Corp.,462.90M,-0.77%,21200,-
461,GCBC,"Greene County Bancorp, Inc.",455.81M,0.86%,1262,68.41M
462,CAC,Camden National Corporation,455.07M,-0.51%,5959,161.20M
463,HONE,"HarborOne Bancorp, Inc.",452.82M,-0.10%,17192,163.45M
464,CCBG,"Capital City Bank Group, Inc.",452.72M,0.34%,1957,220.88M
465,GLAD,Gladstone Capital Corporation,452.49M,0.05%,49397,90.36M
466,HAFC,Hanmi Financial Corporation,449.47M,0.20%,21268,251.11M
467,BETR,Better Home & Finance Holding Company,446.35M,-5.66%,176696,450.55M
468,ATLC,Atlanticus Holdings Corporation,440.01M,0.56%,1198,354.81M
469,WDH,Waterdrop Inc.,438.96M,4.35%,209173,364.62M
470,ANSC,Agriculture & Natural Solutions Acquisition Corporation,437.43M,-,107638,-
471,HTBI,"HomeTrust Bancshares, Inc.",436.29M,-0.20%,2881,186.41M
472,THFF,First Financial Corporation,436.18M,-1.19%,8065,202.67M
473,PNNT,PennantPark Investment Corporation,435.05M,-0.45%,70751,149.74M
474,SLAM,Slam Corp.,434.03M,-0.55%,52,-
475,WASH,"Washington Trust Bancorp, Inc.",428.38M,-0.95%,18715,190.04M
476,DHIL,"Diamond Hill Investment Group, Inc.",426.39M,0.41%,3318,136.72M
477,HIPO,Hippo Holdings Inc.,426.17M,-3.34%,21293,209.70M
478,SPFI,"South Plains Financial, Inc.",423.73M,-2.09%,987,214.36M
479,NFBK,"Northfield Bancorp, Inc. (Staten Island, NY)",421.52M,-1.48%,11141,135.21M
480,GLRE,"Greenlight Capital Re, Ltd.",419.04M,0.41%,4270,667.08M
481,ALRS,Alerus Financial Corporation,416.86M,-1.18%,1698,166.01M
482,GFR,Greenfire Resources Ltd,415.97M,1.89%,1049,-
483,PGC,Peapack-Gladstone Financial Corporation,414.52M,-0.34%,5343,215.58M
484,MCB,Metropolitan Bank Holding Corp.,414.44M,-0.24%,3752,238.46M
485,CCNE,CNB Financial Corporation,414.13M,-1.57%,3490,217.17M
486,GBLI,"Global Indemnity Group, LLC",406.27M,-0.20%,3000,528.13M
487,CRD.B,Crawford & Company,404.79M,3.68%,6804,1.32B
488,CRD.A,Crawford & Company,404.79M,-1.45%,29614,1.32B
489,OPY,Oppenheimer Holdings Inc.,403.33M,-0.35%,2953,1.25B
490,NETD,Nabors Energy Transition Corp. II,397.26M,0.38%,2753,-
491,FFWM,First Foundation Inc.,396.40M,0.28%,41210,252.14M
492,NBN,Northeast Bank,395.73M,-0.35%,9958,142.81M
493,FSBC,Five Star Bancorp,393.92M,1.94%,868,114.39M
494,AROW,Arrow Financial Corporation,392.81M,-0.11%,2550,130.57M
495,ESQ,"Esquire Financial Holdings, Inc.",392.43M,-0.84%,5289,105.34M
496,CSTR,"CapStar Financial Holdings, Inc.",391.71M,-0.05%,19587,111.18M
497,LCAA,L Catterton Asia Acquisition Corp,391.06M,2.43%,107534,-
498,BHRB,Burke & Herbert Bank & Trust Company,390.82M,-1.37%,1231,-
499,HRZN,Horizon Technology Finance Corporation,389.08M,-0.78%,133961,113.48M
500,HCVI,Hennessy Capital Investment Corp. VI,386.86M,-,31,-
501,GHI,Greystone Housing Impact Investors LP,381.92M,0.24%,10260,104.90M
502,KRNY,Kearny Financial Corp.,381.47M,-0.59%,63782,148.37M
503,BHB,Bar Harbor Bankshares,376.44M,-0.89%,2209,150.60M
504,SMMF,"Summit Financial Group, Inc.",372.53M,0.91%,1167,165.20M
505,VALU,"Value Line, Inc.",362.94M,-,44,38.20M
506,HIFS,Hingham Institution for Savings,358.88M,-0.01%,6975,161.23M
507,SHBI,"Shore Bancshares, Inc.",357.49M,-0.97%,16753,137.51M
508,RRAC,Rigel Resource Acquisition Corp.,357.26M,-,246117,-
509,MOFG,"MidWestOne Financial Group, Inc.",353.91M,-0.40%,3751,156.75M
510,SMBK,"SmartFinancial, Inc.",351.67M,-0.53%,1130,149.38M
511,GNTY,"Guaranty Bancshares, Inc.",351.30M,-0.25%,946,119.49M
512,AIRJ,Power & Digital Infrastructure Acquisition II Corp,345.24M,-,12767,-
513,FFIC,Flushing Financial Corporation,344.66M,-0.42%,34601,191.22M
514,RRBI,"Red River Bancshares, Inc.",344.16M,1.28%,446,106.82M
515,MPB,"Mid Penn Bancorp, Inc.",343.74M,-1.98%,3276,166.56M
516,TPVG,TriplePoint Venture Growth BDC Corp.,341.97M,1.21%,94022,137.49M
517,SVII,Spring Valley Acquisition Corp. II,335.19M,-0.36%,64,-
518,MBI,MBIA Inc.,333.56M,-1.15%,17904,7.00M
519,NODK,"NI Holdings, Inc.",332.09M,-3.28%,4873,364.61M
520,IPXX,Inflection Point Acquisition Corp. II,326.25M,-0.10%,104219,-
521,MCBC,Macatawa Bank Corporation,321.28M,0.48%,9505,105.34M
522,FRBA,First Bank,319.84M,-1.01%,1793,125.94M
523,RBB,RBB Bancorp,319.55M,-0.41%,2281,130.94M
524,RENE,Cartesian Growth Corporation II,319.41M,-,2541,-
525,BWB,"Bridgewater Bancshares, Inc.",317.28M,0.09%,6456,111.84M
526,SCM,Stellus Capital Investment Corporation,315.56M,-0.23%,16117,105.85M
527,TYG,Tortoise Energy Infrastructure Corporation,314.12M,0.51%,15269,176.85M
528,EBTC,"Enterprise Bancorp, Inc.",310.03M,-0.95%,1968,161.44M
529,SAR,Saratoga Investment Corp.,309.93M,-0.02%,16239,138.80M
530,IVCB,Investcorp Europe Acquisition Corp I,309.74M,-0.09%,23,-
531,HYAC,Haymaker Acquisition Corp. III,306.41M,-,2495,-
532,LX,LexinFintech Holdings Ltd.,304.32M,3.24%,166918,1.73B
533,ACNB,ACNB Corporation,302.45M,-1.60%,1401,105.92M
534,JWSM,Jaws Mustang Acquisition Corporation,301.45M,-,5436,-
535,JRVR,"James River Group Holdings, Ltd.",298.64M,5.93%,581915,812.01M
536,ITIC,Investors Title Company,296.81M,-,106,224.75M
537,WHF,"WhiteHorse Finance, Inc.",294.95M,-0.63%,18331,103.26M
538,PFIS,Peoples Financial Services Corp.,293.27M,-0.48%,1417,100.32M
539,FRST,Primis Financial Corp.,293.11M,-0.88%,17103,133.22M
540,ASA,ASA Gold and Precious Metals Limited,291.66M,-0.93%,7956,-5.60M
541,WTBA,"West Bancorporation, Inc.",291.35M,-0.98%,1727,78.40M
542,CARE,"Carter Bankshares, Inc.",288.93M,-0.68%,4260,-
543,HBCP,"Home Bancorp, Inc.",286.04M,-0.34%,325,132.99M
544,FISI,"Financial Institutions, Inc.",285.21M,-0.86%,3509,200.28M
545,HIVE,HIVE Blockchain Technologies Ltd.,284.34M,-1.30%,515826,95.81M
546,CZNC,Citizens & Northern Corporation,284.34M,-0.84%,636,104.63M
547,UNTY,"Unity Bancorp, Inc.",284.15M,-0.96%,369,99.97M
548,FBIZ,"First Business Financial Services, Inc.",282.26M,0.91%,798,135.71M
549,CBNK,"Capital Bancorp, Inc.",280.96M,-0.74%,1675,156.99M
550,SLQT,"SelectQuote, Inc.",278.84M,-0.30%,48867,1.16B
551,TRTL,TortoiseEcofin Acquisition Corp. III,278.57M,0.09%,1100,-
552,HMST,"HomeStreet, Inc.",278.34M,-1.29%,12977,209.12M
553,INBK,First Internet Bancorp,275.17M,-1.48%,1029,84.38M
554,MVBF,MVB Financial Corp.,273.44M,-0.56%,461,144.92M
555,BCAL,Southern California Bancorp,273.20M,0.77%,258,96.60M
556,BSRR,Sierra Bancorp,272.65M,-0.81%,1661,137.27M
557,BMRC,Bank of Marin Bancorp,272.43M,-1.10%,5832,105.52M
558,FDBC,"Fidelity D & D Bancorp, Inc.",272.12M,-2.52%,432,80.94M
559,ORRF,"Orrstown Financial Services, Inc.",272.10M,-0.04%,3138,128.88M
560,SBT,"Sterling Bancorp, Inc. (Southfield, MI)",269.71M,0.77%,3585,76.27M
561,TCBX,"Third Coast Bancshares, Inc.",269.69M,0.25%,1612,141.41M
562,NEWT,Newtek Business Services Corp.,269.51M,-4.85%,96932,166.20M
563,FANH,Fanhua Inc.,268.94M,2.78%,1994,462.50M
564,PRLH,Pearl Holdings Acquisition Corp,268.75M,0.28%,60,-
565,FMAO,"Farmers & Merchants Bancorp, Inc.",267.96M,1.48%,1314,95.69M
566,NRIM,"Northrim BanCorp, Inc.",266.78M,-0.62%,588,125.79M
567,BKCC,BlackRock Capital Investment Corporation,266.34M,-,10460,80.36M
568,OBT,"Orange County Bancorp, Inc.",266.18M,1.06%,950,93.42M
569,VBNK,VersaBank,264.64M,3.35%,9269,83.26M
570,EMLD,FTAC Emerald Acquisition Corp.,264.07M,-,169,-
571,LNKB,"LINKBANCORP, Inc.",263.25M,2.06%,2450,34.25M
572,JMSB,"John Marshall Bancorp, Inc.",261.75M,-0.49%,392,43.41M
573,FNLC,"The First Bancorp, Inc.",257.44M,-1.12%,255,79.46M
574,BSVN,Bank7 Corp.,256.80M,-0.25%,2544,77.57M
575,PLAO,Patria Latin American Opportunity Acquisition Corp.,255.27M,-,37,-
576,GOCO,"GoHealth, Inc.",255.23M,-4.49%,10805,734.67M
577,SFST,"Southern First Bancshares, Inc.",251.62M,-0.81%,1654,86.25M
578,CLBR,Colombier Acquisition Corp.,250.15M,-,311,-
579,FSBW,"FS Bancorp, Inc.",249.35M,0.49%,193,139.02M
580,HRTG,"Heritage Insurance Holdings, Inc.",248.10M,4.38%,103343,735.50M
581,PLMJ,Plum Acquisition Corp. III,242.30M,-0.28%,208,-
582,FLIC,The First of Long Island Corporation,242.15M,-0.19%,24678,93.53M
583,PBFS,"Pioneer Bancorp, Inc.",240.55M,-0.38%,429,78.37M
584,HLXB,Helix Acquisition Corp. II,238.02M,0.78%,61,-
585,BTBT,"Bit Digital, Inc.",236.25M,-2.26%,1512452,36.64M
586,CIVB,"Civista Bancshares, Inc.",233.55M,-0.34%,2840,158.22M
587,CONX,CONX Corp.,229.57M,4.66%,3,-
588,RM,Regional Management Corp.,228.64M,-0.13%,1943,551.40M
589,WSBF,"Waterstone Financial, Inc.",228.20M,-0.18%,7761,130.74M
590,CNDA,Concord Acquisition Corp II,228.08M,-0.05%,1305,-
591,LEGT,Legato Merger Corp. III,227.10M,0.10%,11627,-
592,PCB,PCB Bancorp,225.21M,0.44%,651,99.32M
593,BCML,BayCom Corp,224.21M,1.55%,780,102.84M
594,CVCY,Central Valley Community Bancorp,221.00M,-0.19%,5093,89.14M
595,SSBK,"Southern States Bancshares, Inc.",220.90M,4.02%,3877,82.90M
596,BLFY,Blue Foundry Bancorp,220.59M,-1.67%,1917,48.15M
597,SWKH,SWK Holdings Corporation,218.18M,-3.15%,1495,37.67M
598,USCB,"USCB Financial Holdings, Inc.",217.48M,1.17%,187,65.24M
599,SBXC,SilverBox Corp III,216.73M,0.10%,150695,-
600,NECB,"Northeast Community Bancorp, Inc.",213.73M,0.66%,4770,94.86M
601,TSBK,"Timberland Bancorp, Inc.",213.55M,-1.35%,619,75.91M
602,NWFL,Norwood Financial Corp.,212.57M,-0.04%,848,64.64M
603,CVLY,"Codorus Valley Bancorp, Inc.",212.43M,-0.91%,866,95.31M
604,PHYT,Pyrophyte Acquisition Corp.,211.49M,-,55365,-
605,FVCB,"FVCBankcorp, Inc.",210.66M,0.34%,963,53.24M
606,PDLB,"Ponce Financial Group, Inc.",210.26M,-0.23%,2512,59.62M
607,CFFS,CF Acquisition Corp. VII,207.84M,-1.47%,108,-
608,LCNB,LCNB Corp.,206.58M,-2.04%,3618,69.68M
609,XYF,X Financial,205.12M,4.93%,18568,629.69M
610,NFYS,Enphys Acquisition Corp.,203.29M,-,1,-
611,BWFG,"Bankwell Financial Group, Inc.",201.61M,0.20%,1728,98.44M
612,COFS,"ChoiceOne Financial Services, Inc.",200.98M,-1.88%,3014,80.64M
613,PKBK,"Parke Bancorp, Inc.",200.18M,0.27%,408,72.96M
614,CHMG,Chemung Financial Corporation,199.53M,0.12%,2057,95.74M
615,OVLY,Oak Valley Bancorp,198.95M,-1.25%,464,85.01M
616,SEDA,SDCL EDGE Acquisition Corporation,198.32M,-,5000,-
617,KVAC,Keen Vision Acquisition Corporation,198.12M,-0.19%,221,-
618,SEZL,Sezzle Inc.,197.85M,2.27%,2871,159.36M
619,MCAA,Mountain & Co. I Acquisition Corp.,197.84M,-,462,-
620,MNTN,Everest Consolidator Acquisition Corporation,197.76M,-,112,-
621,CZFS,"Citizens Financial Services, Inc.",197.69M,-1.07%,474,86.34M
622,PLBC,Plumas Bancorp,196.71M,1.37%,690,77.07M
623,NKSH,"National Bankshares, Inc.",195.79M,0.84%,871,55.10M
624,CRML,Critical Metals Corp.,192.98M,3.36%,1954,-
625,PMTS,CPI Card Group Inc.,192.45M,3.85%,703,444.55M
626,MBCN,Middlefield Banc Corp.,191.86M,-1.18%,239,68.96M
627,CALB,California BanCorp,190.74M,-0.48%,1962,81.12M
628,SNFCA,Security National Financial Corporation,190.73M,-6.39%,5680,351.77M
629,BPRN,Princeton Bancorp Inc,190.56M,-0.60%,412,83.99M
630,FFNW,"First Financial Northwest, Inc.",189.18M,-0.34%,1957,43.52M
631,CBAN,"Colony Bankcorp, Inc.",188.93M,-0.46%,2387,110.28M
632,PEGR,Project Energy Reimagined Acquisition Corp.,187.14M,-0.37%,191,-
633,ESSA,"ESSA Bancorp, Inc.",186.82M,-1.82%,6082,68.56M
634,ATLO,Ames National Corporation,185.15M,-0.44%,1005,53.05M
635,VSTE,Vast Renewables Limited,184.26M,-8.63%,216,919.00K
636,HCMA,HCM Acquisition Corp,181.16M,12.71%,3116,-
637,IVCA,Investcorp India Acquisition Corp,181.12M,-0.36%,29,-
638,OCN,Ocwen Financial Corporation,180.43M,-,524,1.07B
639,MFIN,Medallion Financial Corp.,179.88M,-0.91%,10117,161.60M
640,TRIS,Tristar Acquisition I Corp.,178.47M,0.18%,129,-
641,PTMN,Portman Ridge Finance Corporation,178.37M,0.79%,3620,76.32M
642,VERY,"Vericity, Inc.",178.35M,-,631,175.00M
643,OXSQ,Oxford Square Capital Corp.,177.30M,-0.98%,52038,51.41M
644,APCA,AP Acquisition Corp.,175.67M,-0.09%,100,-
645,EHTH,"eHealth, Inc.",171.32M,-2.53%,28292,452.87M
646,CPSS,"Consumer Portfolio Services, Inc.",170.44M,0.25%,1106,352.01M
647,EVE,EVe Mobility Acquisition Corp,170.39M,-,2811,-
648,SKGR,SK Growth Opportunities Corporation,169.03M,0.63%,3623,-
649,SPKL,Spark I Acquisition Corp. Class A Ordinary Share,168.65M,0.10%,11,-
650,CFFI,C&F Financial Corporation,168.17M,-1.14%,390,119.05M
651,GAQ,Generation Asia I Acquisition Limited,167.31M,-,401890,-
652,LCW,Learn CW Investment Corporation,165.62M,0.21%,245,-
653,BCBP,"BCB Bancorp, Inc.",164.83M,2.26%,6716,102.05M
654,BRKH,Burtech Acquisition Corp.,164.52M,-0.82%,121,-
655,WNEB,"Western New England Bancorp, Inc.",164.24M,0.85%,3766,77.93M
656,APXI,APx Acquisition Corp. I,162.00M,0.09%,1706,-
657,EVBN,"Evans Bancorp, Inc.",161.83M,0.53%,704,94.11M
658,SOC,Sable Offshore Corp.,160.84M,-1.20%,2312,-
659,PVBC,"Provident Bancorp, Inc.",160.16M,1.55%,4396,71.12M
660,ALCY,Alchemy Investments Acquisition Corp 1,158.24M,-0.09%,2687,-
661,VABK,Virginia National Bankshares Corporation,157.55M,-,187,63.42M
662,MHLD,"Maiden Holdings, Ltd.",154.73M,6.17%,48942,89.23M
663,CAPT,Captivision Inc.,154.19M,2.29%,23186,32.75M
664,MRCC,Monroe Capital Corporation,152.75M,-0.54%,5531,64.30M
665,ISTR,Investar Holding Corporation,151.72M,1.29%,728,83.06M
666,BFAC,Battery Future Acquisition Corp.,151.61M,-,237,-
667,ROSS,Ross Acquisition Corp II,151.42M,-,3448,-
668,PEBK,"Peoples Bancorp of North Carolina, Inc.",151.13M,0.32%,767,76.07M
669,IFIN,InFinT Acquisition Corporation,150.56M,0.26%,100,-
670,FNWB,First Northwest Bancorp,149.46M,-0.13%,2405,64.13M
671,OPBK,OP Bancorp,149.40M,1.26%,177,84.38M
672,ESHA,ESH Acquisition Corp.,148.53M,-0.19%,3522,-
673,BCSA,Blockchain Coinvestors Acquisition Corp. I,148.17M,-,130,-
674,TLGY,TLGY Acquisition Corporation,147.28M,-,12,-
675,FUNC,First United Corporation,146.23M,0.69%,4443,69.72M
676,CNF,CNFinance Holdings Limited,143.34M,4.93%,2323,81.00M
677,VCXB,10X Capital Venture Acquisition Corp. III,142.10M,-,232,-
678,UNB,"Union Bankshares, Inc.",140.63M,-1.35%,147,48.79M
679,SAMG,Silvercrest Asset Management Group Inc.,140.29M,3.04%,1984,117.41M
680,RMBI,"Richmond Mutual Bancorporation, Inc.",139.55M,-1.12%,1107,43.45M
681,PWOD,"Penns Woods Bancorp, Inc.",139.46M,-0.65%,2358,64.82M
682,TWLV,Twelve Seas Investment Company II,139.21M,0.66%,12,-
683,ALSA,Alpha Star Acquisition Corporation,138.76M,0.09%,54,-
684,WNNR,Andretti Acquisition Corp.,138.70M,4.26%,104,-
685,MNSB,"MainStreet Bancshares, Inc.",138.28M,0.38%,730,81.08M
686,ISRL,Israel Acquisitions Corp,138.13M,-,25,-
687,LGVC,LAMF Global Ventures Corp. I,137.16M,-1.08%,168,-
688,BANX,ArrowMark Financial Corp.,136.70M,-0.56%,7058,-
689,HWBK,"Hawthorn Bancshares, Inc.",136.32M,-0.59%,2790,65.90M
690,CNDB,Concord Acquisition Corp III,135.72M,-,120,-
691,CFBK,CF Bankshares Inc.,135.23M,-0.44%,306,50.61M
692,OFS,OFS Capital Corporation,134.38M,0.05%,15916,56.94M
693,FGBI,"First Guaranty Bancshares, Inc.",134.24M,1.95%,2748,91.57M
694,NNAG,99 Acquisition Group Inc.,133.26M,-0.10%,1058,-
695,MYFW,"First Western Financial, Inc.",133.18M,1.73%,1574,82.70M
696,GSIW,Garden Stage Limited,132.83M,-3.12%,1174,3.26M
697,VMCA,Valuence Merger Corp. I,132.59M,-0.09%,3075,-
698,ATEK,Athena Technology Acquisition Corp. II,132.36M,-,6,-
699,CWBC,Community West Bancshares,132.33M,-1.07%,3414,49.29M
700,UBFO,United Security Bancshares,129.96M,-,180,53.29M
701,FCCO,First Community Corporation,129.30M,0.65%,1750,59.21M
702,ZLS,Zalatoris II Acquisition Corp.,129.05M,-,13,-
703,BFIN,BankFinancial Corporation,128.35M,-0.49%,765,55.93M
704,CZWI,"Citizens Community Bancorp, Inc.",128.10M,-1.22%,25430,59.07M
705,FINW,FinWise Bancorp,128.06M,-1.46%,444,66.03M
706,RMGC,RMG Acquisition Corp. III,127.11M,-,37,-
707,ARRW,Arrowroot Acquisition Corp.,126.22M,3.24%,1131,-
708,FIAC,Focus Impact Acquisition Corp.,125.98M,0.18%,2245,-
709,DSAQ,Direct Selling Acquisition Corp.,125.48M,-0.09%,252,-
710,GATE,Marblegate Acquisition Corp.,124.95M,-0.29%,6,-
711,NPAB,New Providence Acquisition Corp. II,124.16M,0.09%,47,-
712,KCGI,Kensington Capital Acquisition Corp. V,123.70M,-,190,-
713,EVGR,Evergreen Corporation,123.32M,-0.09%,52,-
714,PLMI,Plum Acquisition Corp. I,122.58M,-,341,-
715,ECBK,"ECB Bancorp, Inc.",122.09M,-,10,24.85M
716,PPYA,Papaya Growth Opportunity Corp. I,121.05M,0.19%,134,-
717,RCFA,RCF Acquisition Corp.,119.18M,-,4500,-
718,BOCN,Blue Ocean Acquisition Corp.,119.07M,-0.02%,12,-
719,PGSS,Pegasus Digital Mobility Acquisition Corp.,119.04M,0.71%,201,-
720,FNCB,"FNCB Bancorp, Inc.",118.18M,-0.50%,7051,52.66M
721,WMPN,William Penn Bancorporation,117.39M,-,42,21.96M
722,WHG,"Westwood Holdings Group, Inc.",117.00M,-2.25%,5307,89.78M
723,OVBC,Ohio Valley Banc Corp.,116.66M,-3.36%,864,56.57M
724,IXAQ,IX Acquisition Corp.,116.22M,-0.27%,3616,-
725,FRAF,Franklin Financial Services Corporation,116.17M,0.55%,215,65.76M
726,FSFG,"First Savings Financial Group, Inc.",115.29M,1.07%,100,80.32M
727,COOL,Corner Growth Acquisition Corp.,113.89M,-,3,-
728,HNVR,"Hanover Bancorp, Inc.",113.86M,-0.63%,3678,60.45M
729,BYNO,byNordic Acquisition Corporation,113.86M,-,5,-
730,PROP,Prairie Operating Co.,113.65M,1.34%,8092,-
731,CBFV,"CB Financial Services, Inc.",113.10M,-,155,69.07M
