,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
83,DBRG,"DigitalBridge Group, Inc.",3.02B,-1.33%,73368,821.38M
84,SITC,SITE Centers Corp.,2.95B,0.28%,58135,546.28M
85,BNL,"Broadstone Net Lease, Inc.",2.84B,-0.47%,141691,442.89M
86,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",2.78B,-0.53%,29719,319.87M
87,CDP,COPT Defense Properties,2.77B,-0.02%,35994,684.98M
88,ESRT,"Empire State Realty Trust, Inc.",2.76B,0.20%,54783,739.57M
89,IIPR,"Innovative Industrial Properties, Inc.",2.73B,1.63%,21291,309.51M
90,LXP,LXP Industrial Trust,2.65B,-0.50%,48986,340.50M
91,DEI,"Douglas Emmett, Inc.",2.64B,0.80%,114845,1.02B
92,HIW,"Highwoods Properties, Inc.",2.64B,0.41%,26368,834.00M
93,MPW,"Medical Properties Trust, Inc.",2.64B,-2.05%,2181322,871.80M
94,OUT,Outfront Media Inc.,2.63B,-0.98%,63171,1.82B
95,NHI,"National Health Investors, Inc.",2.61B,-0.07%,10717,319.84M
96,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2.60B,-0.60%,4685,214.50M
97,NMRK,"Newmark Group, Inc.",2.56B,-0.99%,54835,2.47B
98,ESBA,"Empire State Realty OP, L.P.",2.53B,4.27%,8383,739.57M
99,ABR,"Arbor Realty Trust, Inc.",2.44B,-1.16%,342888,721.01M
100,FCPT,"Four Corners Property Trust, Inc.",2.26B,-0.49%,22384,250.61M
101,SHO,"Sunstone Hotel Investors, Inc.",2.24B,0.09%,40291,986.48M
102,CWK,Cushman & Wakefield plc,2.21B,0.10%,85807,9.49B
103,UE,Urban Edge Properties,2.07B,0.09%,22552,416.92M
104,EQC,Equity Commonwealth,2.02B,-0.32%,16814,60.52M
105,DRH,DiamondRock Hospitality Company,1.98B,-,53132,1.07B
106,PEB,Pebblebrook Hotel Trust,1.86B,0.13%,89265,1.42B
107,OPEN,Opendoor Technologies Inc.,1.81B,5.62%,3293638,6.95B
108,AKR,Acadia Realty Trust,1.81B,0.68%,41644,338.69M
109,FOR,Forestar Group Inc.,1.80B,-0.69%,13886,1.53B
110,GNL,"Global Net Lease, Inc.",1.76B,-0.07%,90752,515.07M
111,IVT,InvenTrust Properties Corp.,1.68B,-0.04%,8322,258.68M
112,CXW,"CoreCivic, Inc.",1.67B,-1.62%,31561,1.90B
113,AAT,"American Assets Trust, Inc.",1.63B,-0.17%,6071,441.16M
114,ROIC,Retail Opportunity Investments Corp.,1.60B,-,41598,327.73M
115,ARI,"Apollo Commercial Real Estate Finance, Inc.",1.58B,-0.63%,56166,344.59M
116,XHR,"Xenia Hotels & Resorts, Inc.",1.56B,0.68%,44203,1.03B
117,NXRT,"NexPoint Residential Trust, Inc.",1.55B,-1.94%,18553,277.53M
118,EXPI,"eXp World Holdings, Inc.",1.55B,-1.00%,318338,4.28B
119,RC,Ready Capital Corporation,1.54B,-0.68%,177716,630.58M
120,JBGS,JBG SMITH Properties,1.53B,-0.87%,41071,604.20M
121,VRE,"Veris Residential, Inc.",1.50B,-0.07%,15696,279.86M
122,UNIT,Uniti Group Inc.,1.49B,-0.80%,74533,1.15B
123,GTY,Getty Realty Corp.,1.47B,-0.85%,6503,186.42M
124,SAFE,Safehold Inc.,1.40B,-0.30%,22900,352.58M
125,LADR,Ladder Capital Corp,1.39B,-0.91%,32823,264.21M
126,LTC,"LTC Properties, Inc.",1.39B,-,13824,197.24M
127,CMTG,"Claros Mortgage Trust, Inc.",1.36B,-1.74%,10973,306.55M
128,TWO,Two Harbors Investment Corp.,1.32B,-0.16%,118191,31.79M
129,MMI,"Marcus & Millichap, Inc.",1.27B,-0.76%,4064,645.93M
130,NTST,NETSTREIT Corp.,1.26B,-0.50%,27746,131.91M
131,BFS,"Saul Centers, Inc.",1.24B,0.33%,2848,257.21M
132,PMT,PennyMac Mortgage Investment Trust,1.23B,-0.25%,55249,429.02M
133,DEA,"Easterly Government Properties, Inc.",1.18B,-0.61%,107001,287.23M
134,ELME,Elme Communities,1.17B,0.41%,33795,227.91M
135,KW,"Kennedy-Wilson Holdings, Inc.",1.16B,-0.84%,88113,562.60M
136,MFA,"MFA Financial, Inc.",1.16B,-1.19%,69287,248.45M
137,ALEX,"Alexander & Baldwin, Inc.",1.16B,-0.56%,19850,208.90M
138,AHR,"American Healthcare REIT, Inc.",1.14B,1.62%,174456,1.84B
139,PGRE,"Paramount Group, Inc.",1.09B,1.41%,225232,742.79M
140,CIM,Chimera Investment Corporation,1.09B,-1.00%,105338,252.64M
141,FBRT,"Franklin BSP Realty Trust, Inc.",1.09B,-0.68%,13633,263.95M
142,UMH,"UMH Properties, Inc.",1.08B,-0.26%,17767,220.93M
143,SVC,Service Properties Trust,1.08B,-1.31%,53969,1.87B
144,AIV,Apartment Investment and Management Company,1.08B,0.34%,28187,187.00M
145,ALX,"Alexander's, Inc.",1.05B,1.33%,575,224.96M
