,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
85,ENTG,"Entegris, Inc.",20.45B,0.88%,102212,3.52B
86,NOK,Nokia Oyj,20.39B,-4.47%,6034481,24.73B
87,ZM,"Zoom Video Communications, Inc.",20.29B,1.21%,306502,4.53B
88,TDY,Teledyne Technologies Incorporated,19.67B,0.09%,9832,5.64B
89,WDC,Western Digital Corporation,19.48B,-0.25%,734713,11.26B
90,IOT,Samsara Inc.,19.32B,1.43%,428569,937.39M
91,CHKP,Check Point Software Technologies Ltd.,19.26B,1.52%,57117,2.41B
92,VRSN,"VeriSign, Inc.",19.20B,0.40%,65781,1.49B
93,ERIC,Telefonaktiebolaget LM Ericsson (publ),19.15B,-5.40%,6482760,26.13B
94,STX,Seagate Technology Holdings plc,18.02B,-,208076,6.47B
95,OKTA,"Okta, Inc.",17.76B,-0.24%,271550,2.26B
96,TYL,"Tyler Technologies, Inc.",17.60B,0.48%,11238,1.95B
97,EPAM,"EPAM Systems, Inc.",17.28B,-0.87%,25246,4.69B
98,LDOS,"Leidos Holdings, Inc.",17.27B,-1.46%,99937,15.44B
99,GDDY,GoDaddy Inc.,16.70B,1.13%,293981,4.25B
100,SWKS,"Skyworks Solutions, Inc.",16.67B,0.57%,209255,4.64B
101,AKAM,"Akamai Technologies, Inc.",16.25B,0.64%,145323,3.81B
102,HOOD,"Robinhood Markets, Inc.",15.87B,-0.94%,3142359,1.87B
103,PSTG,"Pure Storage, Inc.",15.79B,1.85%,367489,2.83B
104,TER,"Teradyne, Inc.",15.78B,1.22%,197120,2.68B
105,FSLR,"First Solar, Inc.",15.75B,0.30%,247471,3.32B
106,JBL,Jabil Inc.,15.71B,1.71%,460870,32.09B
107,NTNX,"Nutanix, Inc.",15.43B,1.16%,415272,2.02B
108,SSNC,"SS&C Technologies Holdings, Inc.",15.33B,0.37%,111998,5.50B
109,TRMB,Trimble Inc.,15.25B,0.43%,61965,3.80B
110,NICE,NICE Ltd.,15.24B,0.47%,26661,2.38B
111,MANH,"Manhattan Associates, Inc.",15.21B,0.47%,16642,928.73M
112,LOGI,Logitech International S.A.,14.74B,-7.75%,557633,4.25B
113,ZBRA,Zebra Technologies Corporation,14.69B,-0.26%,21191,4.58B
114,ENPH,"Enphase Energy, Inc.",14.63B,-0.01%,510192,2.29B
115,BSY,"Bentley Systems, Incorporated",14.51B,1.39%,97940,1.23B
116,GEN,Gen Digital Inc.,13.54B,-,332096,3.79B
117,DT,"Dynatrace, Inc.",13.50B,0.86%,476145,1.36B
118,TOST,"Toast, Inc.",12.91B,0.40%,645352,3.87B
119,PATH,UiPath Inc.,12.88B,-1.38%,2260083,1.31B
120,JKHY,"Jack Henry & Associates, Inc.",12.46B,0.23%,17559,2.16B
121,GRAB,Grab Holdings Limited,12.44B,0.32%,4289155,2.36B
