,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
370,SCSC,"ScanSource, Inc.",1.05B,0.75%,16181,3.59B
371,INFN,Infinera Corporation,1.05B,0.55%,222613,1.65B
372,RPAY,Repay Holdings Corporation,1.02B,-0.66%,82212,296.63M
373,INDI,"indie Semiconductor, Inc.",1.02B,0.81%,325395,223.17M
374,ATEN,"A10 Networks, Inc.",1.02B,-0.37%,109829,251.70M
375,MODN,"Model N, Inc.",992.20M,-0.41%,15851,253.80M
376,HIMX,"Himax Technologies, Inc.",969.66M,-0.81%,99879,945.43M
377,GB,Global Blue Group Holding AG,967.94M,-,133,448.71M
378,GDYN,"Grid Dynamics Holdings, Inc.",954.99M,1.59%,15384,312.91M
379,NYAX,Nayax Ltd.,928.87M,1.20%,21955,235.49M
380,VMEO,"Vimeo, Inc.",904.08M,3.53%,684009,417.21M
381,BTDR,Bitdeer Technologies Group,895.74M,-8.75%,1095528,-
382,RSKD,Riskified Ltd.,891.70M,0.30%,73394,297.61M
383,OLO,Olo Inc.,869.38M,0.37%,48971,228.29M
384,ENFN,"Enfusion, Inc.",835.80M,-0.65%,36717,174.54M
385,SSYS,Stratasys Ltd.,830.03M,-1.18%,27635,627.60M
386,NVTS,Navitas Semiconductor Corporation,824.56M,-0.87%,367393,79.46M
387,RDWR,Radware Ltd.,822.10M,-0.15%,43382,261.29M
388,PSFE,Paysafe Limited,815.05M,0.68%,75152,1.60B
389,WEAV,"Weave Communications, Inc.",794.52M,0.62%,82068,170.47M
390,TWKS,"Thoughtworks Holding, Inc.",793.92M,-0.41%,92546,1.13B
391,WALD,Waldencast plc,789.83M,-2.86%,6328,166.13M
392,KARO,Karooooo Ltd.,775.63M,1.28%,327,215.12M
393,WKME,WalkMe Ltd.,758.92M,0.35%,2913,266.95M
394,YALA,Yalla Group Limited,756.20M,-0.41%,56917,318.88M
395,KC,Kingsoft Cloud Holdings Limited,748.93M,10.10%,754306,1.03B
396,BELFA,Bel Fuse Inc.,739.85M,-,309,639.81M
397,BELFB,Bel Fuse Inc.,737.87M,-0.51%,8259,639.81M
398,IIIV,"i3 Verticals, Inc.",734.20M,-0.68%,22109,376.20M
399,IMXI,"International Money Express, Inc.",708.38M,-0.98%,23002,658.74M
400,BLND,"Blend Labs, Inc.",702.25M,4.80%,478674,156.85M
401,CNDT,Conduent Incorporated,688.72M,-0.61%,96151,3.72B
402,HKD,AMTD Digital Inc.,680.65M,-2.25%,44995,33.07M
403,NNDM,Nano Dimension Ltd.,679.46M,-2.08%,346354,53.96M
404,PGY,Pagaya Technologies Ltd.,678.92M,-,228375,812.05M
405,YEXT,"Yext, Inc.",673.03M,-0.93%,119218,404.32M
406,HCKT,"The Hackett Group, Inc.",667.30M,0.23%,8947,296.59M
407,ML,MoneyLion Inc.,644.23M,1.62%,32399,423.43M
408,DSP,Viant Technology Inc.,625.02M,0.91%,37182,222.93M
409,CRNC,Cerence Inc.,616.78M,-0.44%,40346,349.15M
410,AOSL,Alpha and Omega Semiconductor Limited,609.40M,-0.28%,15352,640.00M
411,DDD,3D Systems Corporation,607.97M,-2.20%,111932,505.95M
412,CORZ,"Core Scientific, Inc.",607.40M,-3.95%,488541,502.40M
413,MGIC,Magic Software Enterprises Ltd.,595.53M,0.67%,14961,535.05M
414,LASR,"nLIGHT, Inc.",586.86M,-0.89%,8931,209.92M
415,ICG,Intchains Group Limited,568.55M,5.28%,7,82.23M
416,CINT,CI&T Inc,562.23M,-,9140,458.62M
417,EB,"Eventbrite, Inc.",560.27M,3.00%,215177,326.13M
418,SCWX,SecureWorks Corp.,552.51M,-3.59%,12879,392.06M
419,SMRT,"SmartRent, Inc.",550.45M,1.48%,218703,236.84M
420,MTTR,"Matterport, Inc.",550.31M,2.82%,384738,157.75M
421,DMRC,Digimarc Corporation,549.93M,-0.63%,10636,34.85M
422,SNPO,Snap One Holdings Corp.,547.81M,2.02%,3427,1.06B
423,CEVA,"CEVA, Inc.",547.59M,-0.95%,22068,97.42M
424,NOVA,Sunnova Energy International Inc.,547.50M,-2.01%,1463014,720.65M
425,ITRN,Ituran Location and Control Ltd.,546.48M,0.95%,13241,319.98M
426,ALNT,Allient Inc.,546.42M,-0.77%,12606,578.63M
427,MLAB,"Mesa Laboratories, Inc.",545.23M,1.10%,2700,212.87M
428,BIGC,"BigCommerce Holdings, Inc.",544.63M,-0.91%,95959,309.39M
429,CGNT,Cognyte Software Ltd.,536.25M,1.44%,42272,302.97M
430,BBAI,"BigBear.ai Holdings, Inc.",535.42M,-4.10%,6363773,155.16M
431,MITK,"Mitek Systems, Inc.",533.85M,3.29%,87157,172.32M
432,TTEC,"TTEC Holdings, Inc.",520.76M,-1.23%,32534,2.46B
433,NRDY,"Nerdy, Inc.",519.41M,0.17%,331232,193.40M
434,DJCO,Daily Journal Corporation,509.78M,0.25%,2626,71.40M
435,SPWR,SunPower Corporation,496.27M,-4.42%,1425502,1.83B
436,TSAT,Telesat Corporation,490.78M,-1.82%,780,551.81M
437,AAOI,"Applied Optoelectronics, Inc.",487.66M,0.75%,626600,217.65M
438,XPER,Xperi Holding Corporation,482.56M,-0.60%,35774,521.33M
439,BAND,Bandwidth Inc.,480.75M,0.90%,35663,601.12M
440,SKYT,"SkyWater Technology, Inc.",467.46M,0.80%,88921,286.68M
441,VNET,"VNET Group, Inc.",463.26M,6.39%,757611,1.02B
442,LAW,"CS Disco, Inc.",457.35M,2.00%,39222,138.09M
443,CTLP,"Cantaloupe, Inc.",449.16M,-,35406,252.57M
444,VPG,"Vishay Precision Group, Inc.",447.91M,0.06%,5266,355.05M
445,RDZN,"Roadzen, Inc.",444.87M,2.54%,494,-
446,MEI,"Methode Electronics, Inc.",443.09M,-1.24%,68998,1.14B
447,ADTN,"ADTRAN Holdings, Inc.",438.35M,-0.90%,305146,1.28B
448,MTC,"MMTec, Inc.",438.12M,-14.09%,70588,3.22M
449,CLFD,"Clearfield, Inc.",435.91M,-1.52%,28270,217.01M
450,AVNW,"Aviat Networks, Inc.",434.14M,0.14%,12756,357.26M
451,NTGR,"NETGEAR, Inc.",432.76M,-1.17%,8232,740.84M
452,DAVE,Dave Inc.,418.94M,-5.39%,28185,259.09M
453,LYTS,LSI Industries Inc.,415.71M,-0.49%,7375,473.55M
454,AEHR,Aehr Test Systems,410.24M,0.77%,211826,81.53M
455,DAKT,"Daktronics, Inc.",410.05M,0.81%,35913,812.07M
456,AUDC,AudioCodes Ltd.,401.13M,0.08%,17360,244.38M
457,NVEC,NVE Corporation,395.52M,0.54%,919,35.52M
458,BLZE,"Backblaze, Inc.",393.07M,1.54%,94804,96.21M
459,OSPN,OneSpan Inc.,389.99M,-0.29%,38561,235.11M
460,FARO,"FARO Technologies, Inc.",381.47M,0.92%,21674,358.83M
461,MVIS,"MicroVision, Inc.",373.94M,-2.09%,1387584,7.26M
462,AMSWA,"American Software, Inc.",367.75M,0.72%,15573,110.31M
463,DOMO,"Domo, Inc.",344.94M,1.70%,30497,318.43M
464,RXT,"Rackspace Technology, Inc.",338.03M,1.89%,291645,2.96B
465,PRCH,"Porch Group, Inc.",336.94M,-0.72%,291870,430.30M
466,EGHT,"8x8, Inc.",335.71M,-1.84%,204135,733.82M
467,GPRO,"GoPro, Inc.",332.77M,-1.58%,287234,1.01B
468,QBTS,D-Wave Quantum Inc.,332.65M,8.65%,2273454,8.25M
469,UIS,Unisys Corporation,332.48M,-0.31%,56717,2.02B
470,FRGE,"Forge Global Holdings, Inc.",329.51M,-1.33%,21742,67.58M
471,COMM,"CommScope Holding Company, Inc.",322.28M,-1.99%,617753,5.79B
472,NUKK,Nukkleus Inc.,320.91M,-1.60%,60372,26.73M
473,GILT,Gilat Satellite Networks Ltd.,315.36M,-0.45%,18238,266.09M
474,CAN,Canaan Inc.,314.00M,-1.87%,2137360,211.48M
475,WBX,Wallbox N.V.,310.49M,-,87238,158.67M
476,TGAN,"Transphorm, Inc.",310.05M,0.31%,78632,18.76M
477,CLMB,"Climb Global Solutions, Inc.",308.31M,-1.08%,541,352.01M
478,PERF,Perfect Corp.,302.09M,4.69%,28733,53.51M
479,APPS,"Digital Turbine, Inc.",301.98M,-4.05%,575590,572.38M
480,MTLS,Materialise NV,293.56M,2.62%,36217,308.81M
481,STEM,"Stem, Inc.",291.88M,-3.51%,947960,461.52M
482,RGTI,"Rigetti Computing, Inc.",288.98M,3.31%,2430152,12.01M
483,RMNI,"Rimini Street, Inc.",283.13M,-,43527,431.50M
484,ONTF,"ON24, Inc.",277.97M,-,15804,163.71M
485,OPFI,OppFi Inc.,277.20M,-0.79%,63093,255.89M
486,TLS,Telos Corporation,275.71M,13.51%,309608,145.38M
487,IBEX,IBEX Limited,273.07M,-0.39%,4471,513.10M
488,HEAR,Turtle Beach Corporation,271.30M,3.31%,164467,258.12M
489,AISP,"Airship AI Holdings, Inc.",265.51M,8.74%,1479692,22.64M
490,IMMR,Immersion Corporation,265.33M,-4.36%,311418,33.92M
491,CCSI,"Consensus Cloud Solutions, Inc.",262.41M,-0.88%,52401,362.56M
492,TRAK,"Park City Group, Inc.",261.85M,-,2016,19.81M
493,CRNT,Ceragon Networks Ltd.,259.08M,-1.30%,100644,347.18M
494,PRTH,"Priority Technology Holdings, Inc.",253.91M,1.49%,17690,755.61M
495,RDVT,"Red Violet, Inc.",253.45M,-0.58%,990,60.20M
496,MIXT,MiX Telematics Limited,250.58M,2.04%,68550,150.06M
497,QUIK,QuickLogic Corporation,248.62M,12.38%,307381,17.80M
498,AIP,"Arteris, Inc.",245.27M,1.85%,13896,53.67M
499,API,"Agora, Inc.",232.34M,-0.79%,85888,141.54M
500,LSAK,"Lesaka Technologies, Inc.",228.33M,-2.67%,6712,547.10M
501,NOTE,"FiscalNote Holdings, Inc.",227.45M,2.57%,187897,132.65M
502,OPTX,"Syntec Optics Holdings, Inc.",225.63M,2.50%,831,42.42M
503,MX,Magnachip Semiconductor Corporation,222.30M,-1.38%,43605,230.05M
504,AXTI,"AXT, Inc.",212.55M,-0.82%,278916,75.80M
505,DM,"Desktop Metal, Inc.",212.08M,3.42%,524493,189.70M
506,KOPN,Kopin Corporation,209.95M,15.53%,812869,40.39M
507,ASUR,"Asure Software, Inc.",209.86M,0.24%,7420,119.08M
508,VLN,Valens Semiconductor Ltd.,206.21M,1.53%,46502,84.16M
509,ITI,"Iteris, Inc.",205.23M,3.85%,43632,171.68M
510,EGAN,eGain Corporation,201.26M,-6.90%,45335,95.64M
511,CSPI,CSP Inc.,199.91M,5.61%,15536,61.68M
512,ATGL,Alpha Technology Group Limited,198.11M,-4.75%,236,1.11M
513,OUST,"Ouster, Inc.",196.14M,0.73%,122312,69.77M
514,TCX,Tucows Inc.,195.99M,0.03%,7588,331.29M
515,III,"Information Services Group, Inc.",195.76M,-1.25%,16510,291.05M
516,SSTI,SoundThinking Inc,192.72M,0.86%,2547,87.67M
517,KLTR,"Kaltura, Inc.",190.53M,-0.38%,4594,175.17M
518,INOD,Innodata Inc.,181.14M,-1.11%,59743,86.78M
519,VOXX,VOXX International Corporation,180.56M,1.88%,10182,497.35M
520,BKSY,BlackSky Technology Inc.,179.97M,1.59%,130234,78.40M
521,REKR,"Rekor Systems, Inc.",173.87M,-0.24%,245152,28.42M
522,INVE,"Identiv, Inc.",172.88M,0.67%,6195,116.38M
523,MRAM,"Everspin Technologies, Inc.",171.71M,1.17%,13740,63.77M
524,TROO,"TROOPS, Inc.",171.70M,3.64%,335,3.88M
525,MAXN,"Maxeon Solar Technologies, Ltd.",171.01M,-5.40%,332505,1.22B
526,EXFY,"Expensify, Inc.",169.56M,-4.77%,272663,150.69M
527,SATL,Satellogic Inc.,167.86M,0.55%,1146,6.81M
528,ATOM,Atomera Incorporated,164.06M,-0.49%,19570,550.00K
529,PAYS,"PaySign, Inc.",163.54M,-1.29%,18954,44.20M
530,PXLW,"Pixelworks, Inc.",160.10M,1.08%,28530,59.68M
531,SANG,Sangoma Technologies Corporation,158.30M,5.09%,77,189.28M
532,LUNA,Luna Innovations Incorporated,154.40M,-8.76%,142418,116.61M
533,MAPS,"WM Technology, Inc.",152.65M,10.26%,305897,195.87M
534,MKFG,Markforged Holding Corporation,148.96M,5.32%,14163,93.78M
535,YIBO,Planet Image International Limited,147.10M,1.11%,328,142.13M
536,AIXI,Xiao-I Corporation,144.09M,-,42800,61.80M
537,VERI,"Veritone, Inc.",144.06M,-20.62%,3909839,137.25M
538,ARBE,Arbe Robotics Ltd.,142.61M,-0.54%,17781,1.47M
539,VCSA,"Vacasa, Inc.",141.48M,1.66%,12279,1.12B
540,ZFOX,"ZeroFox Holdings, Inc.",140.84M,-0.44%,82190,233.30M
541,,Nano Labs Ltd,139.27M,3.23%,11882,655.30M
542,INTT,inTEST Corporation,138.68M,-2.40%,12651,129.55M
543,GMM,Global Mofy Metaverse Limited,135.46M,-33.33%,1163036,26.89M
544,PWFL,"PowerFleet, Inc.",135.09M,2.48%,293891,132.20M
545,CMTL,Comtech Telecommunications Corp.,130.69M,0.11%,69599,570.77M
546,LTRX,"Lantronix, Inc.",128.92M,0.73%,50405,137.96M
547,ALOT,"AstroNova, Inc.",127.99M,0.93%,777,148.35M
548,ARQQ,Arqit Quantum Inc.,127.32M,-3.35%,211340,640.00K
549,WRAP,"Wrap Technologies, Inc.",126.89M,-0.35%,17045,9.13M
550,PSQH,"PSQ Holdings, Inc.",126.79M,-1.94%,11285,5.69M
551,UEIC,Universal Electronics Inc.,123.20M,0.32%,8720,420.46M
552,CMBM,Cambium Networks Corporation,122.47M,-0.57%,12917,220.20M
553,PXDT,"Pixie Dust Technologies, Inc.",121.00M,-1.89%,7356,5.66M
554,BMR,Beamr Imaging Ltd.,120.84M,-8.88%,1084152,2.91M
555,RELL,"Richardson Electronics, Ltd.",119.94M,-0.42%,7868,225.91M
556,ALAR,Alarum Technologies Ltd.,118.73M,-1.27%,145682,26.52M
557,MYNA,Mynaric AG,116.44M,-1.06%,1113,4.70M
558,MPTI,"M-tron Industries, Inc.",111.35M,0.89%,5012,39.07M
559,VLD,"Velo3D, Inc.",109.34M,13.00%,3626624,105.54M
560,SOL,Emeren Group Ltd,105.40M,1.36%,83078,86.34M
561,SILC,Silicom Ltd.,105.20M,-0.58%,571,124.13M
562,LDTC,LeddarTech Holdings Inc.,101.56M,-3.53%,3619,6.16M
563,RSSS,"Research Solutions, Inc.",100.47M,-5.84%,30128,40.68M
564,AEYE,"AudioEye, Inc.",99.12M,-1.54%,28667,31.32M
565,BEEM,Beam Global,98.50M,-1.59%,15914,55.22M
566,FEBO,Fenbo Holdings Limited,98.45M,-0.33%,1665,15.31M
567,ZENV,Zenvia Inc.,97.94M,-2.61%,2232,153.40M
568,GSIT,"GSI Technology, Inc.",97.89M,-5.43%,85224,22.00M
569,SYT,"SYLA Technologies Co., Ltd.",95.23M,0.82%,543,150.92M
570,SNCR,"Synchronoss Technologies, Inc.",95.20M,-4.14%,55680,234.70M
571,OCFT,"OneConnect Financial Technology Co., Ltd.",93.99M,-4.56%,23477,548.19M
572,CCRD,CoreCard Corporation,93.74M,2.35%,2667,56.00M
573,FEIM,"Frequency Electronics, Inc.",92.27M,0.41%,5148,49.61M
574,IZM,ICZOOM Group Inc.,92.09M,0.23%,35206,214.41M
575,KVHI,"KVH Industries, Inc.",91.58M,0.43%,62556,132.38M
576,LPSN,"LivePerson, Inc.",89.87M,-4.15%,1101084,401.98M
577,VUZI,Vuzix Corporation,89.64M,-4.33%,89718,13.96M
578,SURG,"SurgePays, Inc.",89.18M,-7.68%,478640,137.14M
579,RYDE,Ryde Group Ltd,88.44M,3.65%,25482,6.58M
580,ALLT,Allot Ltd.,85.31M,0.90%,1870,93.15M
581,QUBT,"Quantum Computing, Inc.",83.36M,9.46%,1033447,284.43K
582,PHUN,"Phunware, Inc.",83.36M,-3.87%,199030,4.83M
583,BCOV,Brightcove Inc.,82.60M,0.53%,43648,201.19M
584,GNSS,Genasys Inc.,80.57M,1.64%,18461,40.54M
585,XBP,XBP Europe Holdings Inc,80.50M,15.45%,2125,220.74M
586,OSS,"One Stop Systems, Inc.",80.36M,1.79%,37185,65.99M
587,PET,Wag! Group Co.,80.06M,-5.88%,1828,79.28M
588,BKKT,"Bakkt Holdings, Inc.",78.17M,-4.23%,773209,580.99M
589,SOTK,Sono-Tek Corporation,76.52M,-1.44%,277,18.59M
590,AUID,authID Inc.,75.51M,3.25%,2146,384.32K
591,RTC,Baijiayun Group Ltd,75.41M,-3.87%,21916,10.14M
592,LINK,"Interlink Electronics, Inc.",74.74M,0.02%,762,12.01M
593,SELX,Semilux International Ltd.,73.67M,1.75%,51949,3.89M
594,SSNT,"SilverSun Technologies, Inc.",73.41M,5.14%,12352,54.52M
595,ZEPP,Zepp Health Corporation,71.41M,1.71%,12471,408.16M
596,ELTK,Eltek Ltd.,70.82M,-2.46%,64537,46.70M
597,SPRU,Spruce Power Holding Corporation,70.79M,0.52%,3054,71.22M
598,MKTW,"MarketWise, Inc.",69.97M,1.31%,9139,-
599,UPLD,"Upland Software, Inc.",69.54M,-1.04%,17271,297.85M
600,QMCO,Quantum Corporation,68.42M,-1.38%,156746,407.47M
601,WFCF,"Where Food Comes From, Inc.",67.46M,-,147,25.14M
602,ASYS,"Amtech Systems, Inc.",67.12M,0.53%,2091,116.68M
603,EBON,Ebang International Holdings Inc.,63.87M,-5.60%,13109,11.35M
604,POET,POET Technologies Inc.,62.91M,1.01%,18617,557.79K
605,DPSI,"Decisionpoint Systems, Inc.",62.16M,3.33%,2398,109.57M
606,ONDS,Ondas Holdings Inc.,61.59M,1.13%,23319,11.21M
607,GRRR,Gorilla Technology Group Inc.,61.24M,-0.39%,64342,-
608,STIX,"Semantix, Inc.",60.68M,-5.77%,29,44.82M
609,CSLR,"Complete Solaria, Inc.",59.56M,-9.20%,58179,171.96M
610,TYGO,"Tigo Energy, Inc.",59.32M,1.98%,18295,-
611,KPLT,"Katapult Holdings, Inc.",57.44M,-3.68%,5900,214.34M
612,LPTH,"LightPath Technologies, Inc.",57.03M,-1.27%,4695,32.49M
613,AIRG,"Airgain, Inc.",56.51M,2.51%,2937,56.04M
614,KNW,"Know Labs, Inc.",55.78M,5.00%,2540,-
615,RCAT,"Red Cat Holdings, Inc.",55.62M,11.35%,43927,10.99M
616,FTCI,"FTC Solar, Inc.",55.38M,8.52%,162231,127.00M
617,AKTS,"Akoustis Technologies, Inc.",53.59M,1.32%,83614,29.71M
618,KTCC,Key Tronic Corporation,53.38M,2.02%,2756,620.34M
619,DZSI,DZS Inc.,53.33M,-0.70%,16337,389.46M
620,MOBX,Mobix Labs Inc,53.20M,6.80%,37991,-
621,NVNI,Nvni Group Limited,52.95M,-,89,23.54M
622,SWVL,Swvl Holdings Corp.,50.53M,-1.21%,10475,21.87M
623,TACT,TransAct Technologies Incorporated,50.32M,-1.19%,10605,72.63M
624,MOGO,Mogo Inc.,47.43M,1.55%,43742,48.30M
625,AGMH,AGM Group Holdings Inc.,46.08M,3.68%,33959,165.45M
626,SATX,Satixfy Communications Ltd.,45.99M,-3.42%,1948,-
627,ISDR,Issuer Direct Corporation,45.40M,-0.76%,353,33.38M
628,EGIO,"Edgio, Inc.",45.03M,-2.21%,12060,379.92M
629,MNDO,MIND C.T.I. Ltd,44.56M,0.91%,52894,21.61M
630,BKTI,BK Technologies Corporation,44.30M,3.35%,3558,74.09M
631,CXAI,CXApp Inc.,43.96M,-5.84%,593673,-
632,DTST,Data Storage Corporation,43.90M,-6.25%,125488,24.74M
633,USIO,"Usio, Inc.",43.41M,-,1284,81.93M
634,MRT,"Marti Technologies, Inc.",42.26M,2.00%,8939,34.47M
635,CREX,"Creative Realities, Inc.",41.32M,6.30%,36958,41.20M
636,CLRO,"ClearOne, Inc.",41.21M,7.27%,184844,18.57M
637,JFU,9F Inc.,41.21M,-,311,102.96M
638,INLX,"Intellinetics, Inc.",40.74M,-1.60%,718,16.73M
639,REFR,Research Frontiers Incorporated,40.21M,5.83%,5570,909.60K
640,DGHI,Digihost Technology Inc.,38.76M,-4.59%,12075,21.01M
641,CPTN,"Cepton, Inc.",38.51M,0.41%,6033,9.68M
642,HOLO,MicroCloud Hologram Inc.,38.20M,-8.09%,787061,-
643,PALT,"Paltalk, Inc.",37.53M,9.58%,39613,10.98M
644,STRC,Sarcos Technology and Robotics Corporation,37.01M,-1.40%,50734,6.15M
645,ARBB,ARB IOT Group Limited,36.48M,0.72%,15166,51.32M
646,IDN,"Intellicheck, Inc.",35.03M,-0.55%,19332,18.28M
647,AWRE,"Aware, Inc.",34.84M,-,42153,18.24M
648,DSWL,"Deswell Industries, Inc.",34.58M,-0.68%,7434,70.63M
649,FCUV,Focus Universal Inc.,34.44M,2.60%,29149,841.01K
650,NTWK,"NetSol Technologies, Inc.",34.29M,0.33%,1484,56.78M
651,LAES,SEALSQ Corp,34.08M,-3.85%,232421,27.29M
652,FKWL,Franklin Wireless Corp.,34.06M,-0.35%,979,47.36M
653,INSG,Inseego Corp.,33.97M,2.48%,14832,195.69M
654,LGL,"The LGL Group, Inc.",33.94M,-2.21%,456,-20.83M
655,APCX,AppTech Payments Corp.,33.31M,-1.24%,14328,471.00K
656,BTCM,BIT Mining Limited,32.67M,-4.93%,67098,43.10M
657,CASA,"Casa Systems, Inc.",32.22M,1.51%,66290,249.79M
658,ULY,Urgent.ly Inc.,32.18M,3.24%,7252,-
659,FATH,Fathom Digital Manufacturing Corporation,31.80M,-,52,139.34M
660,DAIO,Data I/O Corporation,31.75M,-,200,28.46M
661,DUOT,"Duos Technologies Group, Inc.",31.38M,1.62%,6310,11.88M
662,MLGO,MicroAlgo Inc.,30.39M,-1.88%,348208,-
663,NSYS,Nortech Systems Incorporated,29.72M,-,14,138.90M
664,EMKR,EMCORE Corporation,29.38M,0.26%,36906,96.89M
665,SQNS,Sequans Communications S.A.,27.75M,1.18%,201567,33.62M
666,SONM,"Sonim Technologies, Inc.",27.69M,6.83%,4959,104.32M
667,MSAI,MultiSensor AI Holdings Inc.,27.60M,6.06%,19701,11.08M
668,TRT,Trio-Tech International,27.48M,1.52%,313,41.09M
669,CPSH,CPS Technologies Corporation,26.72M,-2.99%,6768,27.55M
670,RBT,"Rubicon Technologies, Inc.",26.64M,-10.07%,292171,692.91M
671,GETR,"Getaround, Inc.",26.50M,-1.58%,69277,68.37M
672,SMSI,"Smith Micro Software, Inc.",26.12M,3.03%,58746,40.86M
673,CLPS,CLPS Incorporation,26.00M,0.99%,140,145.37M
674,NXPL,NextPlat Corp,25.84M,-4.35%,1849,23.75M
675,ANY,Sphere 3D Corp.,25.80M,-2.07%,68621,21.91M
676,PRST,"Presto Automation, Inc.",25.15M,-9.87%,1233166,21.20M
677,UTSI,UTStarcom Holdings Corp.,24.43M,-4.73%,37,13.07M
678,WKEY,WISeKey International Holding AG,24.38M,-1.18%,8404,28.08M
679,FTFT,Future FinTech Group Inc.,23.98M,-10.83%,196886,31.99M
680,WYY,WidePoint Corporation,23.97M,1.48%,485,101.11M
681,KOSS,Koss Corporation,23.04M,0.80%,3190,13.21M
682,HKIT,Hitek Global Inc.,22.60M,-2.55%,18148,6.43M
683,OCC,Optical Cable Corporation,22.54M,-,2018,68.74M
684,RVYL,Ryvyl Inc.,21.81M,0.76%,11944,54.04M
685,SGMA,"SigmaTron International, Inc.",21.73M,0.70%,2629,399.71M
686,VIAO,VIA optronics AG,20.59M,3.83%,3,210.00M
687,KULR,"KULR Technology Group, Inc.",20.58M,-4.79%,1398506,9.31M
688,VHC,VirnetX Holding Corp,20.52M,-4.16%,1586,7.00K
689,VRAR,"The Glimpse Group, Inc.",20.50M,4.10%,6400,11.76M
690,HTCR,"HeartCore Enterprises, Inc.",20.43M,-5.00%,3038,20.52M
691,SYNX,Silynxcom Ltd.,20.42M,0.52%,1048,7.26M
692,DTSS,Datasea Inc.,20.13M,-,4904,23.68M
693,MRDB,MariaDB plc,19.92M,8.50%,40852,53.92M
694,BMTX,"BM Technologies, Inc.",19.59M,4.24%,1945,56.90M
695,SPI,"SPI Energy Co., Ltd.",19.27M,1.66%,6134,209.89M
696,NEON,Neonode Inc.,19.20M,6.40%,3567,4.45M
697,TAIT,Taitron Components Incorporated,18.85M,2.56%,1913,6.92M
698,JG,Aurora Mobile Limited,18.55M,-5.81%,2188,40.94M
699,MINM,"Minim, Inc.",18.40M,-8.16%,71991,35.27M
700,ATCH,AtlasClear Holdings Inc,18.14M,-4.48%,9697,9.09M
701,SOS,SOS Limited,18.03M,-2.72%,237001,217.08M
702,AMPG,"AmpliTech Group, Inc.",17.73M,2.73%,1350,15.85M
703,CISO,CISO Global Inc,16.34M,-2.21%,25498,58.06M
704,XELA,"Exela Technologies, Inc.",16.10M,5.53%,174922,1.07B
705,TSRI,"TSR, Inc.",15.91M,2.43%,2594,93.37M
706,BOSC,B.O.S. Better Online Solutions Ltd.,15.48M,-0.37%,825,44.62M
707,SPPL,SIMPPLE LTD.,14.60M,-11.87%,164835,4.86M
708,CTM,"Castellum, Inc.",14.11M,12.78%,211342,44.18M
709,MVLA,Movella Holdings Inc.,14.07M,2.39%,535486,57.99M
710,TURB,"Turbo Energy, S.A.",13.72M,-1.97%,83,33.95M
711,SVRE,SaverOne 2014 Ltd,13.64M,3.88%,49227,2.29M
712,ELSE,"Electro-Sensors, Inc.",13.54M,-,120,8.35M
713,CYN,Cyngn Inc.,13.17M,1.06%,504334,1.49M
714,AHI,Advanced Human Imaging Limited,13.11M,-3.23%,12201,2.79M
715,WRNT,Warrantee Inc.,12.77M,5.77%,8123,1.63M
716,MMAT,Meta Materials Inc.,12.43M,-3.37%,51633,7.09M
717,MTBL,"Moatable, Inc.",12.31M,-0.04%,4035,50.81M
718,OLB,"The OLB Group, Inc.",12.03M,-0.77%,4388,31.62M
719,CAUD,Collective Audience Inc.,12.00M,6.54%,256284,28.63M
720,MSN,Emerson Radio Corp.,11.14M,0.45%,229,8.74M
721,MTEK,Maris-Tech Ltd.,10.64M,1.48%,6416,2.01M
722,BLIN,"Bridgeline Digital, Inc.",10.63M,0.98%,6264,15.56M
723,BNZI,"Banzai International, Inc.",10.57M,-6.62%,257316,7.70M
724,HUBC,HUB Cyber Security (Israel) Ltd.,10.52M,-0.93%,24958,73.04M
725,XTIA,Inpixon,10.24M,-9.88%,117705,12.46M
726,WATT,Energous Corporation,10.09M,0.30%,11442,561.71K
727,SGE,"Strong Global Entertainment, Inc.",9.85M,-,65,50.13M
728,IDAI,T Stamp Inc.,9.78M,7.94%,533294,4.49M
729,LEDS,SemiLEDs Corporation,9.71M,4.98%,12141,5.93M
730,SGN,Signing Day Sports Inc.,9.54M,-1.53%,14168,222.22K
731,VERB,"Verb Technology Company, Inc.",9.39M,60.02%,128227153,4.41M
732,WLDS,Wearable Devices Ltd.,9.38M,28.51%,26349294,82.00K
733,VHAI,Vocodia Holdings Corp,9.05M,-4.39%,628289,156.61K
734,ELWS,"Earlyworks Co., Ltd",9.02M,-4.71%,33397,312.10K
735,WETG,"WeTrade Group, Inc.",8.75M,0.86%,657,4.72M
736,JTAI,Jet.AI Inc.,8.64M,-12.69%,1671960,29.90M
737,ISUN,"iSun, Inc.",8.52M,-,138013,96.13M
738,BLBX,Blackboxstocks Inc.,8.48M,-,130,3.39M
739,SOBR,"SOBR Safe, Inc.",8.36M,-2.28%,3600,144.33K
740,SLNH,"Soluna Holdings, Inc.",8.25M,0.65%,14915,15.13M
741,VISL,"Vislink Technologies, Inc.",8.00M,-0.48%,1077,26.79M
742,JNVR,Janover Inc.,8.00M,-1.13%,1095,2.11M
743,EZFL,EZFill Holdings Inc.,7.95M,1.08%,4002,22.38M
744,LYT,Lytus Technologies Holdings PTV. Ltd.,7.75M,4.53%,47713,19.39M
